==PROF== Connected to process 18764 (C:\Python311\python.exe)
Inference done
==PROF== Disconnected from process 18764
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1","1","7","(128, 1, 1)","(98, 1, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","15.28"
"0","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1","1","7","(128, 1, 1)","(98, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed","%","1.63"
"0","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1","1","7","(128, 1, 1)","(98, 1, 1)","0","7.5","Command line profiler metrics","lts__t_bytes.avg.pct_of_peak_sustained_elapsed","%","21.90"
"0","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1","1","7","(128, 1, 1)","(98, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","71.44"
"0","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1","1","7","(128, 1, 1)","(98, 1, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","34.45"
"0","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1","1","7","(128, 1, 1)","(98, 1, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg","","n/a"
"0","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1","1","7","(128, 1, 1)","(98, 1, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_math_throttle_per_warp_active.avg","","n/a"
"1","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 2, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","27.16"
"1","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 2, 1)","0","7.5","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed","%","0.80"
"1","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 2, 1)","0","7.5","Command line profiler metrics","lts__t_bytes.avg.pct_of_peak_sustained_elapsed","%","30.44"
"1","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 2, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","44.43"
"1","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 2, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","73.77"
"1","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 2, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg","","n/a"
"1","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 2, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_math_throttle_per_warp_active.avg","","n/a"
"2","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","1","7","(256, 1, 1)","(2, 7, 4)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","24.31"
"2","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","1","7","(256, 1, 1)","(2, 7, 4)","0","7.5","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed","%","1.18"
"2","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","1","7","(256, 1, 1)","(2, 7, 4)","0","7.5","Command line profiler metrics","lts__t_bytes.avg.pct_of_peak_sustained_elapsed","%","37.08"
"2","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","1","7","(256, 1, 1)","(2, 7, 4)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","55.74"
"2","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","1","7","(256, 1, 1)","(2, 7, 4)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","24.96"
"2","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","1","7","(256, 1, 1)","(2, 7, 4)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg","","n/a"
"2","18764","python.exe","127.0.0.1","_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","1","7","(256, 1, 1)","(2, 7, 4)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_math_throttle_per_warp_active.avg","","n/a"
"3","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","51.44"
"3","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed","%","0.93"
"3","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","lts__t_bytes.avg.pct_of_peak_sustained_elapsed","%","37.58"
"3","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","52.33"
"3","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","92.75"
"3","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg","","n/a"
"3","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_math_throttle_per_warp_active.avg","","n/a"
"4","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","51.49"
"4","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed","%","0.93"
"4","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","lts__t_bytes.avg.pct_of_peak_sustained_elapsed","%","37.74"
"4","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","52.24"
"4","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","92.74"
"4","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg","","n/a"
"4","18764","python.exe","127.0.0.1","volta_sgemm_128x32_nn","1","7","(256, 1, 1)","(25, 8, 1)","0","7.5","Command line profiler metrics","smsp__warp_issue_stalled_math_throttle_per_warp_active.avg","","n/a"
